question_text,document_title,language,annotations,document_plaintext,document_url,answer_start,answer_text,question_text_tokenized,document_plaintext_tokenized,answer_text_tokenized,labels
ジョン・アンドレはいつ生まれた,ジョン・アンドレ,japanese,"{'answer_start': array([11]), 'answer_text': array(['1750年5月2日'], dtype=object)}","
ジョン・アンドレ（、1750年5月2日-1780年10月2日）は、アメリカ独立戦争時のイギリス陸軍将校であり、アメリカ大陸軍に捕まり、スパイとして処刑された。これは大陸軍のベネディクト・アーノルドがイギリス軍にニューヨークのウェストポイント砦を明け渡そうとした策謀に加担したためだった。",https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%B3%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%AC,[11],['1750年5月2日'],"['ジョン', '・', 'アンドレ', 'は', 'いつ', '生まれ', 'た']","['ジョン', '・', 'アンドレ', '（', '、', '1750', '年', '5', '月', '2', '日', '-', '1780', '年', '10', '月', '2', '日', '）', 'は', '、', 'アメリカ', '独立', '戦争', '時', 'の', 'イギリス', '陸軍', '将校', 'で', 'あり', '、', 'アメリカ', '大陸', '軍', 'に', '捕まり', '、', 'スパイ', 'と', 'し', 'て', '処刑', 'さ', 'れ', 'た', '。', 'これ', 'は', '大陸', '軍', 'の', 'ベネディクト', '・', 'アーノルド', 'が', 'イギリス', '軍', 'に', 'ニューヨーク', 'の', 'ウェスト', 'ポイント', '砦', 'を', '明け渡そう', 'と', 'し', 'た', '策謀', 'に', '加担', 'し', 'た', 'ため', 'だっ', 'た', '。']","['1750', '年', '5', '月', '2', '日']",1
プロイセン王国はいつ滅亡した,プロイセン王国,japanese,"{'answer_start': array([205]), 'answer_text': array(['1918年'], dtype=object)}",この後、プロイセン王国はドイツ帝国の中に組み込まれ、ドイツ帝国の盟主でありながら国家としての意識を徐々に失っていく。プロイセンの住民はプロイセン人であるよりもむしろドイツ帝国臣民であることを誇るようになり、プロイセンの独自の気風は忘れられていった。フリードリヒ3世は百日“皇帝”と呼ばれ、さらにヴィルヘルム2世がプロイセン王を名乗ることはほとんどなく、単に「カイザー」（Kaiser）とのみ呼ばれるようになる。1918年のドイツ革命によって王政は廃止され、プロイセン王国は滅亡したが、それまでにプロイセンと呼ぶべき存在はほとんど滅び、エルベ川以東の古いユンカーやプロイセン軍人たちの意識にわずかに保たれていたに過ぎなかったのである。ヴァイマル共和政のドイツ国においては、ドイツ帝国時代のプロイセン王国の範囲はプロイセン州（プロイセン自由国）となったが、ナチス・ドイツ時代にはナチ党の地方単位の大管区（ガウ）が事実上の地方行政単位となり、プロイセン州は有名無実となった。,https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AD%E3%82%A4%E3%82%BB%E3%83%B3%E7%8E%8B%E5%9B%BD,[205],['1918年'],"['プロイセン', '王国', 'は', 'いつ', '滅亡', 'し', 'た']","['この', '後', '、', 'プロイセン', '王国', 'は', 'ドイツ', '帝国', 'の', '中', 'に', '組み込ま', 'れ', '、', 'ドイツ', '帝国', 'の', '盟主', 'で', 'あり', 'ながら', '国家', 'と', 'し', 'て', 'の', '意識', 'を', '徐々', 'に', '失っ', 'て', 'いく', '。', 'プロイセン', 'の', '住民', 'は', 'プロイセン', '人', 'で', 'ある', 'より', 'も', 'むしろ', 'ドイツ', '帝国', '臣民', 'で', 'ある', 'こと', 'を', '誇る', 'よう', 'に', 'なり', '、', 'プロイセン', 'の', '独自', 'の', '気風', 'は', '忘れ', 'られ', 'て', 'いっ', 'た', '。', 'フリードリヒ', '3', '世', 'は', '百', '日', '“', '皇帝', '”', 'と', '呼ば', 'れ', '、', 'さらに', 'ヴィルヘルム', '2', '世', 'が', 'プロイセン', '王', 'を', '名乗る', 'こと', 'は', 'ほとんど', 'なく', '、', '単に', '「', 'カイザー', '」', '（', 'Kaiser', '）', 'と', 'のみ', '呼ば', 'れる', 'よう', 'に', 'なる', '。', '1918', '年', 'の', 'ドイツ', '革命', 'に', 'よっ', 'て', '王政', 'は', '廃止', 'さ', 'れ', '、', 'プロイセン', '王国', 'は', '滅亡', 'し', 'た', 'が', '、', 'それ', 'まで', 'に', 'プロイセン', 'と', '呼ぶ', 'べき', '存在', 'は', 'ほとんど', '滅び', '、', 'エルベ', '川', '以東', 'の', '古い', 'ユンカー', 'や', 'プロイセン', '軍人', 'たち', 'の', '意識', 'に', 'わずか', 'に', '保た', 'れ', 'て', 'い', 'た', 'に', '過ぎ', 'なかっ', 'た', 'の', 'で', 'ある', '。', 'ヴァイマル', '共和', '政', 'の', 'ドイツ', '国', 'に', 'おい', 'て', 'は', '、', 'ドイツ', '帝国', '時代', 'の', 'プロイセン', '王国', 'の', '範囲', 'は', 'プロイセン', '州', '（', 'プロイセン', '自由', '国', '）', 'と', 'なっ', 'た', 'が', '、', 'ナチス', '・', 'ドイツ', '時代', 'に', 'は', 'ナチ', '党', 'の', '地方', '単位', 'の', '大', '管区', '（', 'ガ', 'ウ', '）', 'が', '事実', '上', 'の', '地方', '行政', '単位', 'と', 'なり', '、', 'プロイセン', '州', 'は', '有名', '無実', 'と', 'なっ', 'た', '。']","['1918', '年']",1
ロサンゼルス・タイムズはいつ設立した,ロサンゼルス・タイムズ,japanese,"{'answer_start': array([133]), 'answer_text': array(['1884年'], dtype=object)}",この新聞は、「ロサンゼルス・デイリー・タイムズ」という名前で1881年12月4日に創刊した。しかしすぐに破産したため、印刷元のミラー・カンパニーが経営を引き継ぎ、同時にハリソン・グレイ・オーティス元北軍中佐が編集長に就任した。オーティスはこの新聞を商業的に成功させ、1884年にこの新聞を印刷元とも買収し、タイム・ミラー・カンパニーを設立した。,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B5%E3%83%B3%E3%82%BC%E3%83%AB%E3%82%B9%E3%83%BB%E3%82%BF%E3%82%A4%E3%83%A0%E3%82%BA,[133],['1884年'],"['ロサンゼルス', '・', 'タイムズ', 'は', 'いつ', '設立', 'し', 'た']","['この', '新聞', 'は', '、', '「', 'ロサンゼルス', '・', 'デイリー', '・', 'タイムズ', '」', 'と', 'いう', '名前', 'で', '1881', '年', '12', '月', '4', '日', 'に', '創刊', 'し', 'た', '。', 'しかし', 'すぐ', 'に', '破産', 'し', 'た', 'ため', '、', '印刷', '元', 'の', 'ミラー', '・', 'カンパニー', 'が', '経営', 'を', '引き継ぎ', '、', '同時', 'に', 'ハリソン', '・', 'グレイ', '・', 'オーティス', '元', '北軍', '中佐', 'が', '編集', '長', 'に', '就任', 'し', 'た', '。', 'オーティス', 'は', 'この', '新聞', 'を', '商業', '的', 'に', '成功', 'さ', 'せ', '、', '1884', '年', 'に', 'この', '新聞', 'を', '印刷', '元', 'とも', '買収', 'し', '、', 'タイム', '・', 'ミラー', '・', 'カンパニー', 'を', '設立', 'し', 'た', '。']","['1884', '年']",1
手拭の大きさは？,手拭,japanese,"{'answer_start': array([85]), 'answer_text': array(['90cm ｘ 35cm'], dtype=object)}",3尺から9尺であったが、江戸時代には一幅（曲尺の1尺1寸5分、約34.8cm・反物の並幅、約36から38cm）で、長さは鯨尺2.5尺（約94.6cm）になり、ほぼ現在の約90cm ｘ 35cm程度の大きさになった。詳細に寸法が違うのは一反（12m前後とまちまち）の布から8から11本を裁断したために、大きさが規格として曖昧になっていることや、着物を作成した時の反物の端切れからも作られたことによる。手拭の端が縫われていないのは、清潔を保つ為水切れをよくし早く乾くようにと云う工夫である。,https://ja.wikipedia.org/wiki/%E6%89%8B%E6%8B%AD,[85],['90cm ｘ 35cm'],"['手拭', 'の', '大き', 'さ', 'は', '？']","['3', '尺', 'から', '9', '尺', 'で', 'あっ', 'た', 'が', '、', '江戸', '時代', 'に', 'は', '一', '幅', '（', '曲尺', 'の', '1', '尺', '1', '寸', '5', '分', '、', '約', '34', '.', '8', 'cm', '・', '反物', 'の', '並幅', '、', '約', '36', 'から', '38', 'cm', '）', 'で', '、', '長', 'さ', 'は', '鯨尺', '2', '.', '5', '尺', '（', '約', '94', '.', '6', 'cm', '）', 'に', 'なり', '、', 'ほぼ', '現在', 'の', '約', '90', 'cm', 'ｘ', '35', 'cm', '程度', 'の', '大き', 'さ', 'に', 'なっ', 'た', '。', '詳細', 'に', '寸法', 'が', '違う', 'の', 'は', '一', '反', '（', '12', 'm', '前後', 'と', 'まちまち', '）', 'の', '布', 'から', '8', 'から', '11', '本', 'を', '裁断', 'し', 'た', 'ため', 'に', '、', '大き', 'さ', 'が', '規格', 'と', 'し', 'て', '曖昧', 'に', 'なっ', 'て', 'いる', 'こと', 'や', '、', '着物', 'を', '作成', 'し', 'た', '時', 'の', '反物', 'の', '端切れ', 'から', 'も', '作ら', 'れ', 'た', 'こと', 'に', 'よる', '。', '手拭', 'の', '端', 'が', '縫わ', 'れ', 'て', 'い', 'ない', 'の', 'は', '、', '清潔', 'を', '保つ', '為', '水切れ', 'を', 'よく', 'し', '早く', '乾く', 'よう', 'に', 'と', '云う', '工夫', 'で', 'ある', '。']","['90', 'cm', 'ｘ', '35', 'cm']",1
ヤマハ発動機の本社はどこにある？,ヤマハ発動機,japanese,"{'answer_start': array([174]), 'answer_text': array(['静岡県磐田市'], dtype=object)}","1955年（昭和30年）1月 - 静岡県浜名郡浜北町（現浜松市浜北区）に日本楽器製造（現ヤマハ）浜北工場設立、二輪車「YA-1」(125cc)の生産を開始
1955年（昭和30年）7月1日 - ヤマハ発動機株式会社発足、初代社長に川上源一が就任
1966年（昭和41年）2月 - トヨタ・2000GTへの技術供与
1972年（昭和47年）2月 - 静岡県磐田市に本社を移転
1984年（昭和59年）- アメリカ・フォード・モーター自動車エンジン供給の仮契約を締結
2000年（平成12年）3月 - トヨタ自動車との提携強化
2012年（平成24年）- 創業者川上源一が日本自動車殿堂入り",https://ja.wikipedia.org/wiki/%E3%83%A4%E3%83%9E%E3%83%8F%E7%99%BA%E5%8B%95%E6%A9%9F,[174],['静岡県磐田市'],"['ヤマハ', '発動', '機', 'の', '本社', 'は', 'どこ', 'に', 'ある', '？']","['1955', '年', '（', '昭和', '30', '年', '）', '1', '月', '-', '静岡', '県', '浜名', '郡', '浜北', '町', '（', '現', '浜松', '市', '浜北', '区', '）', 'に', '日本', '楽器', '製造', '（', '現', 'ヤマハ', '）', '浜北', '工場', '設立', '、', '二', '輪', '車', '「', 'YA', '-', '1', '」', '(', '125', 'cc', ')', 'の', '生産', 'を', '開始', '1955', '年', '（', '昭和', '30', '年', '）', '7', '月', '1', '日', '-', 'ヤマハ', '発動', '機', '株式', '会社', '発足', '、', '初代', '社長', 'に', '川上', '源一', 'が', '就任', '1966', '年', '（', '昭和', '41', '年', '）', '2', '月', '-', 'トヨタ', '・', '2000', 'GT', 'へ', 'の', '技術', '供与', '1972', '年', '（', '昭和', '47', '年', '）', '2', '月', '-', '静岡', '県', '磐田', '市', 'に', '本社', 'を', '移転', '1984', '年', '（', '昭和', '59', '年', '）-', 'アメリカ', '・', 'フォード', '・', 'モーター', '自動', '車', 'エンジン', '供給', 'の', '仮', '契約', 'を', '締結', '2000', '年', '（', '平成', '12', '年', '）', '3', '月', '-', 'トヨタ', '自動', '車', 'と', 'の', '提携', '強化', '2012', '年', '（', '平成', '24', '年', '）-', '創業', '者', '川上', '源一', 'が', '日本', '自動', '車', '殿堂', '入り']","['静岡', '県', '磐田', '市']",1
オルランド・ディ・ラッソの最期の作品は何？,オルランド・ディ・ラッソ,japanese,"{'answer_start': array([274]), 'answer_text': array(['聖ペテロの涙'], dtype=object)}",ラッソは1570年代後半から1580年代にかけて、数回イタリアを訪れ、当時の最も進んだ音楽様式と流行に遭遇した。前衛的な作曲家の要衝の地、フェラーラでは、まず間違いなくエステ家のために作曲されたマドリガーレに接している。しかしながらラッソは自らの伝統的な――ために保守的な――作曲様式にとどまり続け、歳を重ねるにしたがって、より簡素で、より洗練された様式を示すようになる。1590年代には健康が衰え始め、心気症の治療を受けている。しかしながら今なお作曲に加えて、時おり旅行に出ることもできた。絶筆は、精緻を極めた21の宗教マドリガーレからなる曲集《聖ペテロの涙 Lagrime di San Pietro 》であり、没後に出版された楽譜（1595年）は、ローマ教皇クレメンス8世に献呈された。,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89%E3%83%BB%E3%83%87%E3%82%A3%E3%83%BB%E3%83%A9%E3%83%83%E3%82%BD,[274],['聖ペテロの涙'],"['オルランド', '・', 'ディ・ラッソ', 'の', '最期', 'の', '作品', 'は', '何', '？']","['ラッソ', 'は', '1570', '年', '代', '後半', 'から', '1580', '年', '代', 'に', 'かけ', 'て', '、', '数', '回', 'イタリア', 'を', '訪れ', '、', '当時', 'の', '最も', '進ん', 'だ', '音楽', '様式', 'と', '流行', 'に', '遭遇', 'し', 'た', '。', '前衛', '的', 'な', '作曲', '家', 'の', '要衝', 'の', '地', '、', 'フェラーラ', 'で', 'は', '、', 'まず', '間違い', 'なく', 'エステ', '家', 'の', 'ため', 'に', '作曲', 'さ', 'れ', 'た', 'マドリガーレ', 'に', '接し', 'て', 'いる', '。', 'しかし', 'ながら', 'ラッソ', 'は', '自ら', 'の', '伝統', '的', 'な', '―', '―', 'ため', 'に', '保守', '的', 'な', '―', '―', '作曲', '様式', 'に', 'とどまり', '続け', '、', '歳', 'を', '重ねる', 'に', 'したがっ', 'て', '、', 'より', '簡素', 'で', '、', 'より', '洗練', 'さ', 'れ', 'た', '様式', 'を', '示す', 'よう', 'に', 'なる', '。', '1590', '年', '代', 'に', 'は', '健康', 'が', '衰え', '始め', '、', '心気', '症', 'の', '治療', 'を', '受け', 'て', 'いる', '。', 'しかし', 'ながら', '今', 'なお', '作曲', 'に', '加え', 'て', '、', '時おり', '旅行', 'に', '出る', 'こと', 'も', 'でき', 'た', '。', '絶筆', 'は', '、', '精緻', 'を', '極め', 'た', '21', 'の', '宗教', 'マドリガーレ', 'から', 'なる', '曲集', '《', '聖', 'ペテロ', 'の', '涙', 'Lagrime', 'di', 'San', 'Pietro', '》', 'で', 'あり', '、', '没後', 'に', '出版', 'さ', 'れ', 'た', '楽譜', '（', '1595', '年', '）', 'は', '、', 'ローマ', '教皇', 'クレメンス', '8', '世', 'に', '献呈', 'さ', 'れ', 'た', '。']","['聖', 'ペテロ', 'の', '涙']",1
ロサンゼルス・ドジャースに前田健太が入団したのはいつ,前田健太,japanese,"{'answer_start': array([0]), 'answer_text': array(['2016年1月7日'], dtype=object)}",2016年1月7日（日本時間8日）にロサンゼルス・ドジャースとの契約が発表された[29]。契約内容は8年総額2500万ドル＋先発数とイニング数に応じて最大1億620万ドルに達する出来高と報じられ[30][31]、基本給が低い一方で多額の出来高が盛り込まれ、そうした長期契約ながら契約途中のオプトアウトでFAとなれる条項もないことが話題となった[32]。背番号は広島時代と同じ、18となった[注 1]。,https://ja.wikipedia.org/wiki/%E5%89%8D%E7%94%B0%E5%81%A5%E5%A4%AA,[0],['2016年1月7日'],"['ロサンゼルス', '・', 'ドジャース', 'に', '前田', '健太', 'が', '入団', 'し', 'た', 'の', 'は', 'いつ']","['2016', '年', '1', '月', '7', '日', '（', '日本', '時間', '8', '日', '）', 'に', 'ロサンゼルス', '・', 'ドジャース', 'と', 'の', '契約', 'が', '発表', 'さ', 'れ', 'た', '[', '29', ']。', '契約', '内容', 'は', '8', '年', '総額', '2500', '万', 'ドル', '＋', '先発', '数', 'と', 'イニング', '数', 'に', '応じ', 'て', '最大', '1', '億', '620', '万', 'ドル', 'に', '達する', '出来高', 'と', '報じ', 'られ', '[', '30', '][', '31', ']、', '基本', '給', 'が', '低い', '一方', 'で', '多額', 'の', '出来高', 'が', '盛り込ま', 'れ', '、', 'そう', 'し', 'た', '長期', '契約', 'ながら', '契約', '途中', 'の', 'オプト', 'アウト', 'で', 'FA', 'と', 'なれる', '条項', 'も', 'ない', 'こと', 'が', '話題', 'と', 'なっ', 'た', '[', '32', ']。', '背', '番号', 'は', '広島', '時代', 'と', '同じ', '、', '18', 'と', 'なっ', 'た', '[', '注', '1', ']。']","['2016', '年', '1', '月', '7', '日']",1
平安時代は何年間続きましたか？,平安時代,japanese,"{'answer_start': array([116]), 'answer_text': array(['390年間'], dtype=object)}",平安時代（へいあんじだい、延暦13年（794年） - 文治元年（1185年）/建久3年（1192年）頃）は、日本の歴史の時代区分の一つである。延暦13年（794年）に桓武天皇が平安京（京都）に都を移してから鎌倉幕府が成立するまでの約390年間を指し、京都におかれた平安京が、鎌倉幕府が成立するまで政治上ほぼ唯一の中心であったことから、平安時代と称される。,https://ja.wikipedia.org/wiki/%E5%B9%B3%E5%AE%89%E6%99%82%E4%BB%A3,[116],['390年間'],"['平安', '時代', 'は', '何', '年間', '続き', 'まし', 'た', 'か', '？']","['平安', '時代', '（', 'へいあん', 'じ', 'だ', 'い', '、', '延暦', '13', '年', '（', '794', '年', '）', '-', '文治', '元年', '（', '1185', '年', '）', '/', '建久', '3', '年', '（', '1192', '年', '）', '頃', '）', 'は', '、', '日本', 'の', '歴史', 'の', '時代', '区分', 'の', '一', 'つ', 'で', 'ある', '。', '延暦', '13', '年', '（', '794', '年', '）', 'に', '桓武', '天皇', 'が', '平安', '京', '（', '京都', '）', 'に', '都', 'を', '移し', 'て', 'から', '鎌倉', '幕府', 'が', '成立', 'する', 'まで', 'の', '約', '390', '年間', 'を', '指し', '、', '京都', 'に', 'おか', 'れ', 'た', '平安', '京', 'が', '、', '鎌倉', '幕府', 'が', '成立', 'する', 'まで', '政治', '上', 'ほぼ', '唯一', 'の', '中心', 'で', 'あっ', 'た', 'こと', 'から', '、', '平安', '時代', 'と', '称さ', 'れる', '。']","['390', '年間']",1
NHKニュースの放送が開始したのはいつ？,NHKニュース,japanese,"{'answer_start': array([13]), 'answer_text': array(['1953年2月1日'], dtype=object)}",第1回のNHKニュースは、1953年2月1日の開局当日15時から15分間『NHKテレビジョンニュース映画』と銘打って放映された。これは週間ニュース番組で、日本映画新社へ制作を委託し放送したものである（実際は同社の『朝日ニュース』をテレビ放送用に再編集したものだったとされている[5]）。またデイリーニュースも、1日に2回、正午と19時に放送されたが、内容は、ニュース項目や事件現場の地図を紙に書き、写真とともにテレビカメラで写した上で、ラジオニュースの原稿に合わせてアナウンサーがナレーションをするものであった。一方、フィルム映像によるニュースは、国内・海外ともに「週間ニュース」の放送枠にて放送された。,https://ja.wikipedia.org/wiki/NHK%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9,[13],['1953年2月1日'],"['NHK', 'ニュース', 'の', '放送', 'が', '開始', 'し', 'た', 'の', 'は', 'いつ', '？']","['第', '1', '回', 'の', 'NHK', 'ニュース', 'は', '、', '1953', '年', '2', '月', '1', '日', 'の', '開局', '当日', '15', '時', 'から', '15', '分間', '『', 'NHK', 'テレビジョン', 'ニュース', '映画', '』', 'と', '銘打っ', 'て', '放映', 'さ', 'れ', 'た', '。', 'これ', 'は', '週間', 'ニュース', '番組', 'で', '、', '日本', '映画', '新社', 'へ', '制作', 'を', '委託', 'し', '放送', 'し', 'た', 'もの', 'で', 'ある', '（', '実際', 'は', '同社', 'の', '『', '朝日', 'ニュース', '』', 'を', 'テレビ', '放送', '用', 'に', '再', '編集', 'し', 'た', 'もの', 'だっ', 'た', 'と', 'さ', 'れ', 'て', 'いる', '[', '5', ']）。', 'また', 'デイリー', 'ニュース', 'も', '、', '1', '日', 'に', '2', '回', '、', '正午', 'と', '19', '時', 'に', '放送', 'さ', 'れ', 'た', 'が', '、', '内容', 'は', '、', 'ニュース', '項目', 'や', '事件', '現場', 'の', '地図', 'を', '紙', 'に', '書き', '、', '写真', 'と', 'とも', 'に', 'テレビ', 'カメラ', 'で', '写し', 'た', '上', 'で', '、', 'ラジオ', 'ニュース', 'の', '原稿', 'に', '合わせ', 'て', 'アナウンサー', 'が', 'ナレーション', 'を', 'する', 'もの', 'で', 'あっ', 'た', '。', '一方', '、', 'フィルム', '映像', 'に', 'よる', 'ニュース', 'は', '、', '国内', '・', '海外', 'とも', 'に', '「', '週間', 'ニュース', '」', 'の', '放送', '枠', 'にて', '放送', 'さ', 'れ', 'た', '。']","['1953', '年', '2', '月', '1', '日']",1
バーナード・ロー・モントゴメリーはいつ生まれた？,バーナード・モントゴメリー,japanese,"{'answer_start': array([53]), 'answer_text': array(['1887年11月17日'], dtype=object)}","

初代アラメインのモントゴメリー子爵 バーナード・ロー・モントゴメリー（, KG、GCB、DSO、PC、1887年11月17日 - 1976年3月24日）はイギリスの陸軍軍人、政治家。モンティ（Monty）の愛称で呼ばれた。又、モンゴメリー</b>と呼ばれることもある。",https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%BC%E3%83%8A%E3%83%BC%E3%83%89%E3%83%BB%E3%83%A2%E3%83%B3%E3%83%88%E3%82%B4%E3%83%A1%E3%83%AA%E3%83%BC,[53],['1887年11月17日'],"['バーナード', '・', 'ロー', '・', 'モントゴメリー', 'は', 'いつ', '生まれ', 'た', '？']","['初代', 'アラメイン', 'の', 'モントゴメリー', '子爵', 'バーナード', '・', 'ロー', '・', 'モントゴメリー', '（', ',', 'KG', '、', 'GCB', '、', 'DSO', '、', 'PC', '、', '1887', '年', '11', '月', '17', '日', '-', '1976', '年', '3', '月', '24', '日', '）', 'は', 'イギリス', 'の', '陸軍', '軍人', '、', '政治', '家', '。', 'モンティ', '（', 'Monty', '）', 'の', '愛称', 'で', '呼ば', 'れ', 'た', '。', '又', '、', 'モンゴメリー', '<', '/', 'b', '>', 'と', '呼ば', 'れる', 'こと', 'も', 'ある', '。']","['1887', '年', '11', '月', '17', '日']",1
プロイセン王国はいつ滅びた？,プロイセン王国,japanese,"{'answer_start': array([205]), 'answer_text': array(['1918年'], dtype=object)}",この後、プロイセン王国はドイツ帝国の中に組み込まれ、ドイツ帝国の盟主でありながら国家としての意識を徐々に失っていく。プロイセンの住民はプロイセン人であるよりもむしろドイツ帝国臣民であることを誇るようになり、プロイセンの独自の気風は忘れられていった。フリードリヒ3世は百日“皇帝”と呼ばれ、さらにヴィルヘルム2世がプロイセン王を名乗ることはほとんどなく、単に「カイザー」（Kaiser）とのみ呼ばれるようになる。1918年のドイツ革命によって王政は廃止され、プロイセン王国は滅亡したが、それまでにプロイセンと呼ぶべき存在はほとんど滅び、エルベ川以東の古いユンカーやプロイセン軍人たちの意識にわずかに保たれていたに過ぎなかったのである。ヴァイマル共和政のドイツ国においては、ドイツ帝国時代のプロイセン王国の範囲はプロイセン州（プロイセン自由国）となったが、ナチス・ドイツ時代にはナチ党の地方単位の大管区（ガウ）が事実上の地方行政単位となり、プロイセン州は有名無実となった。,https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AD%E3%82%A4%E3%82%BB%E3%83%B3%E7%8E%8B%E5%9B%BD,[205],['1918年'],"['プロイセン', '王国', 'は', 'いつ', '滅び', 'た', '？']","['この', '後', '、', 'プロイセン', '王国', 'は', 'ドイツ', '帝国', 'の', '中', 'に', '組み込ま', 'れ', '、', 'ドイツ', '帝国', 'の', '盟主', 'で', 'あり', 'ながら', '国家', 'と', 'し', 'て', 'の', '意識', 'を', '徐々', 'に', '失っ', 'て', 'いく', '。', 'プロイセン', 'の', '住民', 'は', 'プロイセン', '人', 'で', 'ある', 'より', 'も', 'むしろ', 'ドイツ', '帝国', '臣民', 'で', 'ある', 'こと', 'を', '誇る', 'よう', 'に', 'なり', '、', 'プロイセン', 'の', '独自', 'の', '気風', 'は', '忘れ', 'られ', 'て', 'いっ', 'た', '。', 'フリードリヒ', '3', '世', 'は', '百', '日', '“', '皇帝', '”', 'と', '呼ば', 'れ', '、', 'さらに', 'ヴィルヘルム', '2', '世', 'が', 'プロイセン', '王', 'を', '名乗る', 'こと', 'は', 'ほとんど', 'なく', '、', '単に', '「', 'カイザー', '」', '（', 'Kaiser', '）', 'と', 'のみ', '呼ば', 'れる', 'よう', 'に', 'なる', '。', '1918', '年', 'の', 'ドイツ', '革命', 'に', 'よっ', 'て', '王政', 'は', '廃止', 'さ', 'れ', '、', 'プロイセン', '王国', 'は', '滅亡', 'し', 'た', 'が', '、', 'それ', 'まで', 'に', 'プロイセン', 'と', '呼ぶ', 'べき', '存在', 'は', 'ほとんど', '滅び', '、', 'エルベ', '川', '以東', 'の', '古い', 'ユンカー', 'や', 'プロイセン', '軍人', 'たち', 'の', '意識', 'に', 'わずか', 'に', '保た', 'れ', 'て', 'い', 'た', 'に', '過ぎ', 'なかっ', 'た', 'の', 'で', 'ある', '。', 'ヴァイマル', '共和', '政', 'の', 'ドイツ', '国', 'に', 'おい', 'て', 'は', '、', 'ドイツ', '帝国', '時代', 'の', 'プロイセン', '王国', 'の', '範囲', 'は', 'プロイセン', '州', '（', 'プロイセン', '自由', '国', '）', 'と', 'なっ', 'た', 'が', '、', 'ナチス', '・', 'ドイツ', '時代', 'に', 'は', 'ナチ', '党', 'の', '地方', '単位', 'の', '大', '管区', '（', 'ガ', 'ウ', '）', 'が', '事実', '上', 'の', '地方', '行政', '単位', 'と', 'なり', '、', 'プロイセン', '州', 'は', '有名', '無実', 'と', 'なっ', 'た', '。']","['1918', '年']",1
イスラム教の経典は何？,イスラム教,japanese,"{'answer_start': array([50]), 'answer_text': array(['クルアーン'], dtype=object)}","
イスラム教はアラビア語を母語とするアラブ人の間で生まれ、神がアラビア語をもって人類に下したとされるクルアーンを啓典とする宗教であり、教えの名称を含め、宗教上のほとんどの用語はアラビア語を起源とする語である[注釈 2]。",https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%B9%E3%83%A9%E3%83%A0%E6%95%99,[50],['クルアーン'],"['イスラム', '教', 'の', '経典', 'は', '何', '？']","['イスラム', '教', 'は', 'アラビア', '語', 'を', '母語', 'と', 'する', 'アラブ', '人', 'の', '間', 'で', '生まれ', '、', '神', 'が', 'アラビア', '語', 'を', 'もっ', 'て', '人類', 'に', '下し', 'た', 'と', 'さ', 'れる', 'クルアーン', 'を', '啓典', 'と', 'する', '宗教', 'で', 'あり', '、', '教え', 'の', '名称', 'を', '含め', '、', '宗教', '上', 'の', 'ほとんど', 'の', '用語', 'は', 'アラビア', '語', 'を', '起源', 'と', 'する', '語', 'で', 'ある', '[', '注釈', '2', ']。']",['クルアーン'],1
