question_text,document_title,language,annotations,document_plaintext,document_url,question_text_tokenized,document_plaintext_tokenized,label,word_frequency_score
Missä Mika Waltar syntyi?,Mika Waltari,finnish,"{'answer_start': array([41]), 'answer_text': array(['Helsinki, Suomen suuriruhtinaskunta'], dtype=object)}","

Mika Toimi Waltari (19. syyskuuta 1908 Helsinki, Suomen suuriruhtinaskunta – 26. elokuuta 1979 Helsinki, Suomi) oli merkittävä suomalainen kirjailija. Tavattoman tuotteliaana tunnetun Waltarin julkaisuluettelo käsittää romaaneja, runoja, novelleja, pienoisromaaneja, satuja, näytelmiä, kuunnelmia, propagandamateriaalia, arvosteluja, elokuvakäsikirjoituksia, matkakertomuksia ja sarjakuvariimejä.[1]",https://fi.wikipedia.org/wiki/Mika%20Waltari,"['Missä', 'Mika', 'Waltar', 'syntyi', '?']","['Mika', 'Toimi', 'Waltari', '(', '19.', 'syyskuuta', '1908', 'Helsinki', ',', 'Suomen', 'suuriruhtinaskunta', '–', '26.', 'elokuuta', '1979', 'Helsinki', ',', 'Suomi', ')', 'oli', 'merkittävä', 'suomalainen', 'kirjailija.', 'Tavattoman', 'tuotteliaana', 'tunnetun', 'Waltarin', 'julkaisuluettelo', 'käsittää', 'romaaneja', ',', 'runoja', ',', 'novelleja', ',', 'pienoisromaaneja', ',', 'satuja', ',', 'näytelmiä', ',', 'kuunnelmia', ',', 'propagandamateriaalia', ',', 'arvosteluja', ',', 'elokuvakäsikirjoituksia', ',', 'matkakertomuksia', 'ja', 'sarjakuvariimejä.', '[', '1', ']']",1,0.2
Missä olut on keksitty?,Olut,finnish,"{'answer_start': array([59]), 'answer_text': array(['Anatoliassa'], dtype=object)}","Varhaisimmilta, yli 10000 vuotta vanhoilta viljelyalueilta Anatoliassa on löydetty merkkejä oluen valmistuksesta. Koska silloin ihmisten määrä ei ollut vielä suuri ja pääelinkeinona oli metsästys sekä keräily, niin on esitetty teoria, että ihmiset alkoivat viljelemään ohraa ja vehnää tarkoituksenaan valmistaa suurempia määriä olutta kulttijuhliin. Oluen valmistustaito levisi viljelijäkansojen vaeltaessa Välimerta pitkin Eurooppaan.[4]",https://fi.wikipedia.org/wiki/Olut,"['Missä', 'olut', 'on', 'keksitty', '?']","['Varhaisimmilta', ',', 'yli', '10000', 'vuotta', 'vanhoilta', 'viljelyalueilta', 'Anatoliassa', 'on', 'löydetty', 'merkkejä', 'oluen', 'valmistuksesta.', 'Koska', 'silloin', 'ihmisten', 'määrä', 'ei', 'ollut', 'vielä', 'suuri', 'ja', 'pääelinkeinona', 'oli', 'metsästys', 'sekä', 'keräily', ',', 'niin', 'on', 'esitetty', 'teoria', ',', 'että', 'ihmiset', 'alkoivat', 'viljelemään', 'ohraa', 'ja', 'vehnää', 'tarkoituksenaan', 'valmistaa', 'suurempia', 'määriä', 'olutta', 'kulttijuhliin.', 'Oluen', 'valmistustaito', 'levisi', 'viljelijäkansojen', 'vaeltaessa', 'Välimerta', 'pitkin', 'Eurooppaan.', '[', '4', ']']",1,0.2
Kuka omistaa televisioyhtiö ABC:n?,American Broadcasting Company,finnish,"{'answer_start': array([306]), 'answer_text': array(['The Walt Disney Company'], dtype=object)}",Yhtiö perustettiin vuonna 1943 FCC:n määrättyä RCA:n myymään niin sanotun NBC Blue Networkin.[1] Vuonna 1948 radion rinnalle tuli televisiotoiminta. Vuonna 1953 taloudellisissa vaikeuksissa ollut ABC fuusioitui Leonard H. Goldensonin johtaman United Paramount Theatersin kanssa.[2] Nykyisin yhtiön omistaa The Walt Disney Company. ABC myi radiotoimintansa 2006 Citadel Broadcasting Corporationsille.[3],https://fi.wikipedia.org/wiki/American%20Broadcasting%20Company,"['Kuka', 'omistaa', 'televisioyhtiö', 'ABC', ':', 'n', '?']","['Yhtiö', 'perustettiin', 'vuonna', '1943', 'FCC', ':', 'n', 'määrättyä', 'RCA', ':', 'n', 'myymään', 'niin', 'sanotun', 'NBC', 'Blue', 'Networkin.', '[', '1', ']', 'Vuonna', '1948', 'radion', 'rinnalle', 'tuli', 'televisiotoiminta.', 'Vuonna', '1953', 'taloudellisissa', 'vaikeuksissa', 'ollut', 'ABC', 'fuusioitui', 'Leonard', 'H.', 'Goldensonin', 'johtaman', 'United', 'Paramount', 'Theatersin', 'kanssa.', '[', '2', ']', 'Nykyisin', 'yhtiön', 'omistaa', 'The', 'Walt', 'Disney', 'Company.', 'ABC', 'myi', 'radiotoimintansa', '2006', 'Citadel', 'Broadcasting', 'Corporationsille.', '[', '3', ']']",1,0.5714285714285714
Missä Jean M. Auel syntyi?,Jean M. Untinen-Auel,finnish,"{'answer_start': array([48]), 'answer_text': array(['Chicago, Illinois, Yhdysvallat'], dtype=object)}","Jean Marie Untinen-Auel (s. 18. helmikuuta 1936 Chicago, Illinois, Yhdysvallat), kansainväliseltä nimeltään Jean M. Auel, on suomalaista sukujuurta oleva yhdysvaltalainen kirjailija, joka on kirjoittanut jääkauden aikaiseen esihistorialliseen Eurooppaan sijoittuvan Maan lapset -kirjasarjan.",https://fi.wikipedia.org/wiki/Jean%20M.%20Untinen-Auel,"['Missä', 'Jean', 'M.', 'Auel', 'syntyi', '?']","['Jean', 'Marie', 'Untinen-Auel', '(', 's.', '18.', 'helmikuuta', '1936', 'Chicago', ',', 'Illinois', ',', 'Yhdysvallat', ')', ',', 'kansainväliseltä', 'nimeltään', 'Jean', 'M.', 'Auel', ',', 'on', 'suomalaista', 'sukujuurta', 'oleva', 'yhdysvaltalainen', 'kirjailija', ',', 'joka', 'on', 'kirjoittanut', 'jääkauden', 'aikaiseen', 'esihistorialliseen', 'Eurooppaan', 'sijoittuvan', 'Maan', 'lapset', '-kirjasarjan', '.']",1,0.5
Milloin Sony perustettiin?,Sony,finnish,"{'answer_start': array([85]), 'answer_text': array(['7. toukokuuta 1946'], dtype=object)}","

Sony Corporation () on japanilainen viihde-elektroniikkavalmistaja. Sen perustivat 7. toukokuuta 1946 Masaru Ibuka (井深大 1908–1997) ja Akio Morita (盛田昭夫 1921–1999).",https://fi.wikipedia.org/wiki/Sony,"['Milloin', 'Sony', 'perustettiin', '?']","['Sony', 'Corporation', '(', ')', 'on', 'japanilainen', 'viihde-elektroniikkavalmistaja.', 'Sen', 'perustivat', '7.', 'toukokuuta', '1946', 'Masaru', 'Ibuka', '(', '井深大', '1908–1997', ')', 'ja', 'Akio', 'Morita', '(', '盛田昭夫', '1921–1999', ')', '.']",1,0.25
Missä nykyisessä maassa sijaitsee Aleksandria?,Alexandria (Virginia),finnish,"{'answer_start': array([25]), 'answer_text': array(['Virginiassa Yhdysvalloissa'], dtype=object)}","

Alexandria on kaupunki Virginiassa Yhdysvalloissa, jossa asui 150575 henkilöä vuonna 2014.[1] Kuten loputkin Pohjois-Virginiasta, modernia Alexandriaa on muovannut sen läheisyys maan pääkaupunkiin. Sen asukkaista huomattava osa on ammattilaisia, jotka työskentelevät liittovaltion hallinnon tehtävissä sekä sotilaallisissa toimissa. ",https://fi.wikipedia.org/wiki/Alexandria%20%28Virginia%29,"['Missä', 'nykyisessä', 'maassa', 'sijaitsee', 'Aleksandria', '?']","['Alexandria', 'on', 'kaupunki', 'Virginiassa', 'Yhdysvalloissa', ',', 'jossa', 'asui', '150575', 'henkilöä', 'vuonna', '2014.', '[', '1', ']', 'Kuten', 'loputkin', 'Pohjois-Virginiasta', ',', 'modernia', 'Alexandriaa', 'on', 'muovannut', 'sen', 'läheisyys', 'maan', 'pääkaupunkiin.', 'Sen', 'asukkaista', 'huomattava', 'osa', 'on', 'ammattilaisia', ',', 'jotka', 'työskentelevät', 'liittovaltion', 'hallinnon', 'tehtävissä', 'sekä', 'sotilaallisissa', 'toimissa', '.']",1,0.0
Milloin Carl Barks aloitti piirtämään sarjakuvia?,Carl Barks,finnish,"{'answer_start': array([52]), 'answer_text': array(['1941'], dtype=object)}","Barks piirsi ensimmäisen Aku Ankka -sarjansa vuonna 1941. ”Aku Ankka ja merirosvon kulta” perustui hylätyn piirroselokuvan Morgan’s Ghost käsikirjoitukseen, jonka muokkasi Al Taliaferron piirtämien Aku-sanomalehtistrippien käsikirjoittaja Bob Karp. Puolet tarinasta piirsi Jack Hannah.[4]",https://fi.wikipedia.org/wiki/Carl%20Barks,"['Milloin', 'Carl', 'Barks', 'aloitti', 'piirtämään', 'sarjakuvia', '?']","['Barks', 'piirsi', 'ensimmäisen', 'Aku', 'Ankka', '-sarjansa', 'vuonna', '1941.', '”Aku', 'Ankka', 'ja', 'merirosvon', 'kulta”', 'perustui', 'hylätyn', 'piirroselokuvan', 'Morgan’s', 'Ghost', 'käsikirjoitukseen', ',', 'jonka', 'muokkasi', 'Al', 'Taliaferron', 'piirtämien', 'Aku-sanomalehtistrippien', 'käsikirjoittaja', 'Bob', 'Karp.', 'Puolet', 'tarinasta', 'piirsi', 'Jack', 'Hannah.', '[', '4', ']']",1,0.1428571428571428
Milloin maalaisliitto perustettiin?,Suomen Keskusta,finnish,"{'answer_start': array([94]), 'answer_text': array(['1906'], dtype=object)}","Suomen Keskusta (yleiskielessä keskusta,[1] lyhenne Kesk.,[2] ) on suomalainen puolue. Vuonna 1906 perustetun puolueen nimenä oli Maalaisliitto (lyh. ML) vuoteen 1964 asti ja sen jälkeen Keskustapuolue vuoteen 1988 asti, jolloin otettiin käyttöön nykyinen nimi.",https://fi.wikipedia.org/wiki/Suomen%20Keskusta,"['Milloin', 'maalaisliitto', 'perustettiin', '?']","['Suomen', 'Keskusta', '(', 'yleiskielessä', 'keskusta', ',', '[', '1', ']', 'lyhenne', 'Kesk.', ',', '[', '2', ']', ')', 'on', 'suomalainen', 'puolue.', 'Vuonna', '1906', 'perustetun', 'puolueen', 'nimenä', 'oli', 'Maalaisliitto', '(', 'lyh.', 'ML', ')', 'vuoteen', '1964', 'asti', 'ja', 'sen', 'jälkeen', 'Keskustapuolue', 'vuoteen', '1988', 'asti', ',', 'jolloin', 'otettiin', 'käyttöön', 'nykyinen', 'nimi', '.']",1,0.0
Milloin Suomen ensimmäinen moottoritie valmistui?,Moottoritie,finnish,"{'answer_start': array([319]), 'answer_text': array(['1962'], dtype=object)}",Maailman ensimmäinen moottoritie valmistui vuonna 1924 Italiaan Milanon ja Varesen välille. Saksan ja Yhdysvaltojen ensimmäiset moottoritiet rakennettiin 1930-luvulla. Varsinaisesti moottoriteiden rakentaminen pääsi vauhtiin kuitenkin vasta toisen maailmansodan jälkeen. Suomen ensimmäinen moottoritie valmistui vuonna 1962 Helsingin Munkkiniemen ja Espoon Gumbölen välille.,https://fi.wikipedia.org/wiki/Moottoritie,"['Milloin', 'Suomen', 'ensimmäinen', 'moottoritie', 'valmistui', '?']","['Maailman', 'ensimmäinen', 'moottoritie', 'valmistui', 'vuonna', '1924', 'Italiaan', 'Milanon', 'ja', 'Varesen', 'välille.', 'Saksan', 'ja', 'Yhdysvaltojen', 'ensimmäiset', 'moottoritiet', 'rakennettiin', '1930-luvulla.', 'Varsinaisesti', 'moottoriteiden', 'rakentaminen', 'pääsi', 'vauhtiin', 'kuitenkin', 'vasta', 'toisen', 'maailmansodan', 'jälkeen.', 'Suomen', 'ensimmäinen', 'moottoritie', 'valmistui', 'vuonna', '1962', 'Helsingin', 'Munkkiniemen', 'ja', 'Espoon', 'Gumbölen', 'välille', '.']",1,0.6666666666666666
Mikä on polaroidi?,Pikakamera,finnish,"{'answer_start': array([12]), 'answer_text': array(['yleisesti tunnettu nimitys kaikille pikakameroille ja niiden tuottamille valkoreunuksisille valokuville'],
      dtype=object)}","Polaroid on yleisesti tunnettu nimitys kaikille pikakameroille ja niiden tuottamille valkoreunuksisille valokuville. Sen lisäksi englanninkielisissä maissa kamera tunnetaan myös nimellä land camera viitaten Polaroid-yrityksen perustajaan ja yhteen sen tärkeimmistä tutkijoista, Edwin H. Landiin. ",https://fi.wikipedia.org/wiki/Pikakamera,"['Mikä', 'on', 'polaroidi', '?']","['Polaroid', 'on', 'yleisesti', 'tunnettu', 'nimitys', 'kaikille', 'pikakameroille', 'ja', 'niiden', 'tuottamille', 'valkoreunuksisille', 'valokuville.', 'Sen', 'lisäksi', 'englanninkielisissä', 'maissa', 'kamera', 'tunnetaan', 'myös', 'nimellä', 'land', 'camera', 'viitaten', 'Polaroid-yrityksen', 'perustajaan', 'ja', 'yhteen', 'sen', 'tärkeimmistä', 'tutkijoista', ',', 'Edwin', 'H.', 'Landiin', '.']",1,0.25
Minä vuonna talvisota loppui?,Talvisota,finnish,"{'answer_start': array([54]), 'answer_text': array(['1940'], dtype=object)}","
Talvisota oli 30. marraskuuta 1939 – 13. maaliskuuta 1940 Suomen ja Neuvostoliiton välillä käyty sota. Neuvostoliitto aloitti talvisodan hyökkäämällä ilman sodanjulistusta, ja sota päättyi 105 päivää myöhemmin Moskovan rauhansopimukseen. Kansainliitto tuomitsi hyökkäyksen ja erotti Neuvostoliiton jäsenyydestään 14. joulukuuta 1939.",https://fi.wikipedia.org/wiki/Talvisota,"['Minä', 'vuonna', 'talvisota', 'loppui', '?']","['Talvisota', 'oli', '30.', 'marraskuuta', '1939', '–', '13.', 'maaliskuuta', '1940', 'Suomen', 'ja', 'Neuvostoliiton', 'välillä', 'käyty', 'sota.', 'Neuvostoliitto', 'aloitti', 'talvisodan', 'hyökkäämällä', 'ilman', 'sodanjulistusta', ',', 'ja', 'sota', 'päättyi', '105', 'päivää', 'myöhemmin', 'Moskovan', 'rauhansopimukseen.', 'Kansainliitto', 'tuomitsi', 'hyökkäyksen', 'ja', 'erotti', 'Neuvostoliiton', 'jäsenyydestään', '14.', 'joulukuuta', '1939', '.']",1,0.0
Mitä tarkoittaa on kunnan veroäyri?,Kunnallisvero (Suomi),finnish,"{'answer_start': array([188]), 'answer_text': array(['Kunnallis\xadvero\xadprosentista käytettiin nimitystä vero\xadäyrin hinta'],
      dtype=object)}","Kunnallis­­verotuksessa tulot laskettiin aikaisemmin vero­äyreinä siten, että yhtä veroäyriä vastasi sadan markan tulo, vuoden 1963 rahanuudistuksen jälkeen yksi markan vastasi veroäyriä. Kunnallis­vero­prosentista käytettiin nimitystä vero­äyrin hinta. Näistä termeistä luovuttiin vuonna 2002 euron käyttöön­oton yhteydessä.[5]",https://fi.wikipedia.org/wiki/Kunnallisvero%20%28Suomi%29,"['Mitä', 'tarkoittaa', 'on', 'kunnan', 'veroäyri', '?']","['Kunnallis\xad\xadverotuksessa', 'tulot', 'laskettiin', 'aikaisemmin', 'vero\xadäyreinä', 'siten', ',', 'että', 'yhtä', 'veroäyriä', 'vastasi', 'sadan', 'markan', 'tulo', ',', 'vuoden', '1963', 'rahanuudistuksen', 'jälkeen', 'yksi', 'markan', 'vastasi', 'veroäyriä.', 'Kunnallis\xadvero\xadprosentista', 'käytettiin', 'nimitystä', 'vero\xadäyrin', 'hinta.', 'Näistä', 'termeistä', 'luovuttiin', 'vuonna', '2002', 'euron', 'käyttöön\xadoton', 'yhteydessä.', '[', '5', ']']",1,0.0
Mikä on uros tanskandogin keskimääräinen korkeus?,Tanskandoggi,finnish,"{'answer_start': array([296]), 'answer_text': array(['80cm'], dtype=object)}","Tanskandoggi on irlanninsusikoiran (urokset korkeampia, nartut matalampia) ohella kaikkein korkein koirarotu. Se luokitellaan molossityyppisiin koiriin, ja se on voimakasrakenteinen ja ryhdikäs. Karvapeite on lyhyt, tiheä ja kiiltävä. Säkäkorkeuden on oltava nartulla vähintään 72cm ja uroksella 80cm, mutta yleensä nämä mitat ylittyvät selvästi. Narttu painaa tavallisesti 53–75kg ja uros 67–93kg. Rungon pituus (rintalastasta istuinluihin) saa uroksilla olla korkeintaan 5% ja nartuilla korkeintaan 10% säkäkorkeutta suurempi.",https://fi.wikipedia.org/wiki/Tanskandoggi,"['Mikä', 'on', 'uros', 'tanskandogin', 'keskimääräinen', 'korkeus', '?']","['Tanskandoggi', 'on', 'irlanninsusikoiran', '(', 'urokset', 'korkeampia', ',', 'nartut', 'matalampia', ')', 'ohella', 'kaikkein', 'korkein', 'koirarotu.', 'Se', 'luokitellaan', 'molossityyppisiin', 'koiriin', ',', 'ja', 'se', 'on', 'voimakasrakenteinen', 'ja', 'ryhdikäs.', 'Karvapeite', 'on', 'lyhyt', ',', 'tiheä', 'ja', 'kiiltävä.', 'Säkäkorkeuden', 'on', 'oltava', 'nartulla', 'vähintään', '72cm', 'ja', 'uroksella', '80cm', ',', 'mutta', 'yleensä', 'nämä', 'mitat', 'ylittyvät', 'selvästi.', 'Narttu', 'painaa', 'tavallisesti', '53–75kg', 'ja', 'uros', '67–93kg.', 'Rungon', 'pituus', '(', 'rintalastasta', 'istuinluihin', ')', 'saa', 'uroksilla', 'olla', 'korkeintaan', '5', '%', 'ja', 'nartuilla', 'korkeintaan', '10', '%', 'säkäkorkeutta', 'suurempi', '.']",1,0.2857142857142857
Milloin Claude Giroux syntyi?,Claude Giroux,finnish,"{'answer_start': array([19]), 'answer_text': array(['12. tammikuuta 1988'], dtype=object)}","
Claude Giroux (s. 12. tammikuuta 1988 Hearst, Ontario, Kanada) on kanadalainen jääkiekkoilija, joka toimii NHL-joukkue Philadelphia Flyersin kapteenina. Häntä pidetään yhtenä maailman parhaimmista keskushyökkääjistä ja Flyersin keulakuvana. Giroux on pelipaikaltaan keskushyökkääjä, mutta pelasi vuosina 2008–2011 enimmäkseen laitahyökkääjänä, joukkueen runsaan keskushyökkääjä-tilanteen takia. Hän laukoo oikealta. Pienikokoisen ja monipuolisen hyökkääjän vahvuudet ovat peliälyssä, mailankäsittelyssä ja pelinteossa. Hänen vahvuuksiinsa kuuluvat myös ylivoimapeli ja laukaus. Heikkoudet ovat pienen koon vuoksi kulmatilanteissa.[1]",https://fi.wikipedia.org/wiki/Claude%20Giroux,"['Milloin', 'Claude', 'Giroux', 'syntyi', '?']","['Claude', 'Giroux', '(', 's.', '12.', 'tammikuuta', '1988', 'Hearst', ',', 'Ontario', ',', 'Kanada', ')', 'on', 'kanadalainen', 'jääkiekkoilija', ',', 'joka', 'toimii', 'NHL-joukkue', 'Philadelphia', 'Flyersin', 'kapteenina.', 'Häntä', 'pidetään', 'yhtenä', 'maailman', 'parhaimmista', 'keskushyökkääjistä', 'ja', 'Flyersin', 'keulakuvana.', 'Giroux', 'on', 'pelipaikaltaan', 'keskushyökkääjä', ',', 'mutta', 'pelasi', 'vuosina', '2008–2011', 'enimmäkseen', 'laitahyökkääjänä', ',', 'joukkueen', 'runsaan', 'keskushyökkääjä-tilanteen', 'takia.', 'Hän', 'laukoo', 'oikealta.', 'Pienikokoisen', 'ja', 'monipuolisen', 'hyökkääjän', 'vahvuudet', 'ovat', 'peliälyssä', ',', 'mailankäsittelyssä', 'ja', 'pelinteossa.', 'Hänen', 'vahvuuksiinsa', 'kuuluvat', 'myös', 'ylivoimapeli', 'ja', 'laukaus.', 'Heikkoudet', 'ovat', 'pienen', 'koon', 'vuoksi', 'kulmatilanteissa.', '[', '1', ']']",1,0.4
Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,Coca-Cola,finnish,"{'answer_start': array([67]), 'answer_text': array(['1903'], dtype=object)}","Coca-Colassa on sokeria   kohti.[2] Coca-Colaan käytettiin vuoteen 1903 asti tuoreita kokalehtiä, ja lasillinen Coca-Colaa sisälsi siihen aikaan vielä täysin laillista kokaiinia.[3] Toinen Coca-Colan alkuperäisreseptissä käytetty raaka-aine oli kolapähkinä, joka sisältää runsaasti kofeiinia. Coca-Colan varsinainen valmistuskaava on edelleen erittäin suojeltu salaisuus. Erityisesti tämä koskee Merchandise 7X -nimellä kutsuttua ainesosaa.[4]",https://fi.wikipedia.org/wiki/Coca-Cola,"['Minä', 'vuonna', 'kokaiini', 'lähti', 'pois', 'Coca', 'Colan', 'reseptistä', '?']","['Coca-Colassa', 'on', 'sokeria', 'kohti.', '[', '2', ']', 'Coca-Colaan', 'käytettiin', 'vuoteen', '1903', 'asti', 'tuoreita', 'kokalehtiä', ',', 'ja', 'lasillinen', 'Coca-Colaa', 'sisälsi', 'siihen', 'aikaan', 'vielä', 'täysin', 'laillista', 'kokaiinia.', '[', '3', ']', 'Toinen', 'Coca-Colan', 'alkuperäisreseptissä', 'käytetty', 'raaka-aine', 'oli', 'kolapähkinä', ',', 'joka', 'sisältää', 'runsaasti', 'kofeiinia.', 'Coca-Colan', 'varsinainen', 'valmistuskaava', 'on', 'edelleen', 'erittäin', 'suojeltu', 'salaisuus.', 'Erityisesti', 'tämä', 'koskee', 'Merchandise', '7X', '-nimellä', 'kutsuttua', 'ainesosaa.', '[', '4', ']']",1,0.0
Miksi ensimmäinen ristiretki tehtiin?,Ensimmäinen ristiretki Suomeen,finnish,"{'answer_start': array([394]), 'answer_text': array(['tavoitteena oli estää suomalaisten hyökkäykset Ruotsiin sekä katolisen uskon levittäminen pakanalliseen Lounais-Suomeen'],
      dtype=object)}","

Ensimmäinen ristiretki Suomeen on Ruotsista Lounais-Suomeen mahdollisesti 1150-luvulla tehty ristiretki.[1] Ristiretken todenperäisyydestä ei ole varmuutta. Jonkinlainen laaja sotaretki kuitenkin tehtiin Ruotsista Suomeen 1150-luvulla.[2] Sotaretkeä ei kuitenkaan voida pitää varsinaisena ristiretkenä, vaan ajalle tyypillisenä sotaretkenä, niin sanottuna ledung-retkenä.[3] Myyttisen retken tavoitteena oli estää suomalaisten hyökkäykset Ruotsiin sekä katolisen uskon levittäminen pakanalliseen Lounais-Suomeen.[4]",https://fi.wikipedia.org/wiki/Ensimm%C3%A4inen%20ristiretki%20Suomeen,"['Miksi', 'ensimmäinen', 'ristiretki', 'tehtiin', '?']","['Ensimmäinen', 'ristiretki', 'Suomeen', 'on', 'Ruotsista', 'Lounais-Suomeen', 'mahdollisesti', '1150-luvulla', 'tehty', 'ristiretki.', '[', '1', ']', 'Ristiretken', 'todenperäisyydestä', 'ei', 'ole', 'varmuutta.', 'Jonkinlainen', 'laaja', 'sotaretki', 'kuitenkin', 'tehtiin', 'Ruotsista', 'Suomeen', '1150-luvulla.', '[', '2', ']', 'Sotaretkeä', 'ei', 'kuitenkaan', 'voida', 'pitää', 'varsinaisena', 'ristiretkenä', ',', 'vaan', 'ajalle', 'tyypillisenä', 'sotaretkenä', ',', 'niin', 'sanottuna', 'ledung-retkenä.', '[', '3', ']', 'Myyttisen', 'retken', 'tavoitteena', 'oli', 'estää', 'suomalaisten', 'hyökkäykset', 'Ruotsiin', 'sekä', 'katolisen', 'uskon', 'levittäminen', 'pakanalliseen', 'Lounais-Suomeen.', '[', '4', ']']",1,0.4
Milloin W.A. Mozart syntyi?,Wolfgang Amadeus Mozart,finnish,"{'answer_start': array([51]), 'answer_text': array(['1756'], dtype=object)}","Wolfgang Amadeus Mozart syntyi Salzburgissa vuonna 1756. Hän sai nimensä isoisänsä ja pyhimys Johannes Krysostomoksen mukaan: Johannes Chrysostomus Wolfgangus Theophilus Mozart. Myöhemmin hänen isänsä, hovimuusikko Leopold Mozart lyhensi nimen ja käänsi kreikkalaisen Theophiluksen latinalaiseksi Amadeukseksi (Jumalan rakastama). Mozart käytti itse etunimeä Wolfgang ja sen perään kirjoitti Theophiluksen ranskankielisen (Amadé) tai italiankielisen (Amadeo) käännöksen. Hän ei myöskään käynyt koskaan koulua.",https://fi.wikipedia.org/wiki/Wolfgang%20Amadeus%20Mozart,"['Milloin', 'W.A.', 'Mozart', 'syntyi', '?']","['Wolfgang', 'Amadeus', 'Mozart', 'syntyi', 'Salzburgissa', 'vuonna', '1756.', 'Hän', 'sai', 'nimensä', 'isoisänsä', 'ja', 'pyhimys', 'Johannes', 'Krysostomoksen', 'mukaan', ':', 'Johannes', 'Chrysostomus', 'Wolfgangus', 'Theophilus', 'Mozart.', 'Myöhemmin', 'hänen', 'isänsä', ',', 'hovimuusikko', 'Leopold', 'Mozart', 'lyhensi', 'nimen', 'ja', 'käänsi', 'kreikkalaisen', 'Theophiluksen', 'latinalaiseksi', 'Amadeukseksi', '(', 'Jumalan', 'rakastama', ')', '.', 'Mozart', 'käytti', 'itse', 'etunimeä', 'Wolfgang', 'ja', 'sen', 'perään', 'kirjoitti', 'Theophiluksen', 'ranskankielisen', '(', 'Amadé', ')', 'tai', 'italiankielisen', '(', 'Amadeo', ')', 'käännöksen.', 'Hän', 'ei', 'myöskään', 'käynyt', 'koskaan', 'koulua', '.']",1,0.4
Mikä oli Mika Waltarin ensimmäinen kirja?,Mika Waltari,finnish,"{'answer_start': array([310]), 'answer_text': array(['Jumalaa paossa'], dtype=object)}","Mika Waltari oli erittäin tuottelias kirjailija, jonka tuotantoon kuuluu yli 25 romaania, viitisentoista pienoisromaania, 34 näytelmää ja lisäksi kuunnelmia, pieniä dialogeja, elokuvakäsikirjoituksia, runoja, matkakertomuksia, novelleja ja lukuisia muita tekstejä.[2] Hänen ensimmäinen julkaistu teoksensa oli Jumalaa paossa vuonna 1925, ja viimeiset tekstit hän saneli Ihmisen ääni -sarjassa ilmestyneeseen teokseen vuonna 1978. Hänen teoksistaan on otettu jatkuvasti lisäpainoksia ja niitä on julkaistu myös erilaisina kokoelmina; esimerkiksi hänen näytelmänsä julkaistiin yhtenä kokoelmana vasta 1999.[23]",https://fi.wikipedia.org/wiki/Mika%20Waltari,"['Mikä', 'oli', 'Mika', 'Waltarin', 'ensimmäinen', 'kirja', '?']","['Mika', 'Waltari', 'oli', 'erittäin', 'tuottelias', 'kirjailija', ',', 'jonka', 'tuotantoon', 'kuuluu', 'yli', '25', 'romaania', ',', 'viitisentoista', 'pienoisromaania', ',', '34', 'näytelmää', 'ja', 'lisäksi', 'kuunnelmia', ',', 'pieniä', 'dialogeja', ',', 'elokuvakäsikirjoituksia', ',', 'runoja', ',', 'matkakertomuksia', ',', 'novelleja', 'ja', 'lukuisia', 'muita', 'tekstejä.', '[', '2', ']', 'Hänen', 'ensimmäinen', 'julkaistu', 'teoksensa', 'oli', 'Jumalaa', 'paossa', 'vuonna', '1925', ',', 'ja', 'viimeiset', 'tekstit', 'hän', 'saneli', 'Ihmisen', 'ääni', '-sarjassa', 'ilmestyneeseen', 'teokseen', 'vuonna', '1978.', 'Hänen', 'teoksistaan', 'on', 'otettu', 'jatkuvasti', 'lisäpainoksia', 'ja', 'niitä', 'on', 'julkaistu', 'myös', 'erilaisina', 'kokoelmina', ';', 'esimerkiksi', 'hänen', 'näytelmänsä', 'julkaistiin', 'yhtenä', 'kokoelmana', 'vasta', '1999.', '[', '23', ']']",1,0.4285714285714285
